"SPECIES","TL"
623,3.58
642,3.665
712,3.37
747,4.82
2005,2.81
2316,2.61
2511,2.64
2523,2.64
2900,2.37
2941,2.37
2967,2.37
2980,2.93
3451,2.18
4300,2.1
4331,2.1
6200,2.06
600,3.58
6411,2.06
6999,2.06
8000,3.4
8500,3.4
16,4.08
40,3.465
62,3.59
159,3.59
212,3.91
219,3.77
246,4.81
414,3.665
505,3.58
598,3.665
610,3.59
641,3.665
700,3.59
901,3.37
1810,2.23
2312,2.61
2417,2.61
2906,2.37
2970,2.93
3130,2.18
3131,2.18
3143,2.18
3144,2.18
3501,2.18
4210,2.81
4431,2.81
5100,2.93
6400,2.06
8200,3.4
8318,2.23
2510,2.64
17,3.58
31,4.38666666666667
70,3.77
71,4.82
112,3.58
190,4.82
201,3.77
300,3.755
340,3.58
512,3.58
622,3.58
648,3.665
701,3.59
742,3.58
2100,2.61
2320,2.61
2521,2.64
2800,2.37
2820,2.37
3112,2.18
3199,2.18
4320,2.05
4323,2.1
4328,2.1
4332,2.1
4500,3.98
4511,3.98
4514,3.98
4521,3.98
4998,3.98
6500,2.06
59,3.665
172,4.82
10,4.17
11,3.405
12,4.465
49,3.22
123,3.89
143,3.22
165,3.59
200,3.77
290,3.59
400,4.465
416,3.665
640,3.665
647,3.665
720,3.59
771,3.58
2210,2.61
2211,2.61
2310,2.61
2500,2.64
2507,2.64
2516,2.64
2527,3.18
2541,2.64
2550,3.1
2556,2.64
2562,2.64
2611,2.93
2870,2.93
2990,2.93
3212,2.18
3600,3.4
4200,2.81
4316,2.1
4321,2.05
4322,2.05
4536,3.98
4999,2.81
6600,2.06
8530,2.23
8600,2.23
33,4.82
13,3.665
44,3.22
61,3.59
67,3.59
102,3.58
114,3.58
119,3.58
141,3.22
156,3.58
220,4.45
231,4.81
234,4.81
301,3.58
311,3.58
410,3.58
502,3.58
504,3.58
603,3.58
621,3.58
646,3.58
880,3.58
1827,2.23
2212,2.61
2300,2.61
2319,2.61
2411,2.61
2513,3.18
2565,2.64
2700,2.93
2811,2.37
3142,2.18
4310,2.1
4354,2.1
5200,2.81
6000,2.06
52,3.665
192,4.82
15,4.465
23,3.89
30,4.38666666666667
50,3.665
149,3.58
191,4.82
204,3.77
221,4.45
230,4.81
304,3.58
320,4.465
323,3.58
351,3.58
604,3.37
619,3.665
635,3.58
811,3.37
1004,4.81
2416,2.61
2509,2.64
2524,2.64
2560,2.64
2874,2.93
3100,2.18
3550,2.18
3999,2.81
4211,2.81
4221,2.81
4250,2.81
4350,2.1
5300,2.18
241,3.58
73,4.82
8320,2.23
19,4.465
25,3.665
41,3.22
51,3.665
64,3.59
142,3.22
150,3.37
164,3.59
203,3.77
256,3.59
306,3.58
312,3.58
316,3.58
350,3.58
412,3.58
501,3.665
601,3.665
609,3.58
625,3.58
630,3.665
702,3.58
704,4.465
1823,2.23
2000,2.81
2215,2.61
2313,2.61
2330,2.61
2400,2.61
2519,2.64
2520,2.64
2526,3.18
2555,2.64
2600,2.93
2873,2.93
3200,2.18
3601,3.4
4000,2.81
4110,2.81
4301,2.1
4380,2.1
4400,2.81
4515,3.98
6100,2.06
6115,2.06
8100,3.4
8400,2.23
310,3.58
592,4.82
2532,3.18
14,4.22666666666667
42,3.22
60,3.87
72,4.82
122,3.58
202,3.77
211,3.63
411,3.665
500,3.58
508,3.58
1900,2.23
2200,2.61
2221,2.61
2499,2.81
2531,2.64
2559,2.64
3000,2.18
3221,2.18
4342,2.1
4344,2.1
4355,2.1
4390,2.1
4700,2.81
6121,2.06
6300,2.06
6511,2.06
6900,2.06
8300,2.23
32,4.82
43,3.22
160,3.59
314,3.58
613,3.37
