COMMON,SPEC,N,Proportion,AREA,,,,,,,
ALEWIFE,62,367,0.323633157,4X,,,,,,,
ALLIGATORFISH,340,206,0.181657848,4X,,,,,,,
AMERICAN LOBSTER,2550,647,0.570546737,4X,,,,,,,
AMERICAN PLAICE,40,544,0.479717813,4X,,,,,,,
ARGENTINE(ATLANTIC),160,122,0.107583774,4X,,,,,,,
ASTEROIDEA S.C.,6100,409,0.360670194,4X,,,,,,,
ATLANTIC ROCK CRAB,2513,224,0.197530864,4X,,,,,,,
BARNDOOR SKATE,200,82,0.072310406,4X,,,,,,,
BUTTERFISH,701,86,0.075837743,4X,,,,,,,
COD(ATLANTIC),10,652,0.574955908,4X,,,,,,,
CUSK,15,74,0.065255732,4X,,,,,,,
FOURBEARD ROCKLING,114,62,0.054673721,4X,,,,,,,
HADDOCK,11,999,0.880952381,4X,,,,,,,
HALIBUT(ATLANTIC),30,279,0.246031746,4X,,,,,,,
HERMIT CRABS,2559,168,0.148148148,4X,,,,,,,
HERRING(ATLANTIC),60,812,0.716049383,4X,,,,,,,
"HOOKEAR SCULPIN,ATL.",880,88,0.077601411,4X,,,,,,,
HYAS COARCTATUS,2521,100,0.088183422,4X,,,,,,,
JONAH CRAB,2511,376,0.331569665,4X,,,,,,,
LITTLE SKATE,203,241,0.212522046,4X,,,,,,,
LONGFIN HAKE,112,62,0.054673721,4X,,,,,,,
LONGHORN SCULPIN,300,524,0.462081129,4X,,,,,,,
LUMPFISH,501,75,0.066137566,4X,,,,,,,
MACKEREL(ATLANTIC),70,95,0.08377425,4X,,,,,,,
MAILED SCULPIN,304,92,0.081128748,4X,,,,,,,
"MONKFISH,GOOSEFISH,ANGLER",400,254,0.223985891,4X,,,,,,,
NORTHERN HAGFISH,241,148,0.130511464,4X,,,,,,,
NORTHERN SAND LANCE,610,68,0.059964727,4X,,,,,,,
NORTHERN STONE,2523,153,0.134920635,4X,,,,,,,
OCEAN POUT(COMMON),640,310,0.273368607,4X,,,,,,,
OCTOPUS,4521,313,0.276014109,4X,,,,,,,
PANDALUS BOREALIS,2211,83,0.07319224,4X,,,,,,,
PANDALUS MONTAGUI,2212,483,0.425925926,4X,,,,,,,
POLLOCK,16,547,0.482363316,4X,,,,,,,
REDFISH UNSEPARATED,23,629,0.554673721,4X,,,,,,,
ROSEFISH(BLACK BELLY),123,172,0.151675485,4X,,,,,,,
SEA ANEMONE,8300,185,0.16313933,4X,,,,,,,
SEA CUCUMBERS,6600,73,0.064373898,4X,,,,,,,
SEA RAVEN,320,430,0.379188713,4X,,,,,,,
SEA SCALLOP,4321,280,0.24691358,4X,,,,,,,
SHAD AMERICAN,61,172,0.151675485,4X,,,,,,,
SHORT-FIN SQUID,4511,574,0.50617284,4X,,,,,,,
SILVER HAKE,14,846,0.746031746,4X,,,,,,,
SMOOTH SKATE,202,227,0.200176367,4X,,,,,,,
SPINY DOGFISH,220,445,0.392416226,4X,,,,,,,
SPONGES,8600,321,0.283068783,4X,,,,,,,
SQUIRREL OR RED HAKE,13,460,0.405643739,4X,,,,,,,
STRIPED ATLANTIC WOLFFISH,50,142,0.125220459,4X,,,,,,,
