Indicator,group,metric,q,noq
kemptonQ,ALL,ABUNDANCE,0,1
margalef,ALL,ABUNDANCE,0,1
shannon,ALL,ABUNDANCE,0,1
hillN1,ALL,ABUNDANCE,0,1
hillN2,ALL,ABUNDANCE,0,1
pielouSpeciesEvenness,ALL,ABUNDANCE,0,1
margalefSpeciesRichness,ALL,ABUNDANCE,0,1
resourcePotential,ALL,BIOMASS,1,1
resourcePotential,CLUPEIDS,BIOMASS,1,1
resourcePotential,FINFISH,BIOMASS,1,1
resourcePotential,FLATFISH,BIOMASS,1,1
resourcePotential,GADOIDS,BIOMASS,1,1
resourcePotential,GROUNDFISH,BIOMASS,1,1
resourcePotential,INVERTEBRATES,BIOMASS,0,1
resourcePotential,FORAGE,BIOMASS,1,1
resourcePotential,SKATES,BIOMASS,1,1
speciesRichness,ALL,ABUNDANCE,0,1
meanMaxL,ALL,ABUNDANCE,1,1
meanMaxL,ALL,BIOMASS,1,1
biomassPerTL,ALL,BIOMASS,1,1
invCVBiomass,ALL,BIOMASS,1,1
meanMaxAge,ALL,BIOMASS,1,1
communityFultonK,ALL,ABUNDANCE,1,1
communityFultonK,FINFISH,ABUNDANCE,1,1
communityFultonK,LBENTHIVORE,ABUNDANCE,1,1
communityFultonK,MBENTHIVORE,ABUNDANCE,1,1
communityFultonK,PISCIVORE,ABUNDANCE,1,1
communityFultonK,PLANKTIVORE,ABUNDANCE,1,1
communityFultonK,ZOOPISCIVORE,ABUNDANCE,1,1
largeSpeciesIndicator,ALL,BIOMASS,1,1
largeFishIndicator,ALL,ABUNDANCE,1,1
meanTrophicLevelCommunity,ALL,BIOMASS,1,1
predatoryFish,ALL,BIOMASS,1,1
biomassRatioInv2Dem,ALL,BIOMASS,0,1
biomassRatioPel2Dem,ALL,BIOMASS,1,1
meanLengthCommunity,ALL,BIOMASS,1,1
meanLengthCommunity,ALL,ABUNDANCE,1,1
IVILandings,ALL,ABUNDANCE,1,1
MeanTLLandings,ALL,ABUNDANCE,1,1
FishingInBalance,ALL,ABUNDANCE,1,1
LandByGroup,ALL,ABUNDANCE,1,1
LandByGroup,FINFISH,ABUNDANCE,1,1
LandByGroup,CLUPEIDS,ABUNDANCE,1,1
LandByGroup,GROUNDFISH,ABUNDANCE,1,1
LandByGroup,FLATFISH,ABUNDANCE,1,1
LandByGroup,GADOIDS,ABUNDANCE,1,1
LandByGroup,FORAGE,ABUNDANCE,1,1
LandByGroup,INVERTEBRATES,ABUNDANCE,1,1
MarineTrophicIndex,ALL,ABUNDANCE,1,1
FishingPressure,ALL,ABUNDANCE,1,1
LandingsDiversity,ALL,ABUNDANCE,1,1
