"RESEARCH","NAME","IVI"
10,"COD_ATLANTIC_",52
11,"HADDOCK",47
12,"WHITE_HAKE",41
13,"SQUIRREL_OR_RED_HAKE",41
14,"SILVER_HAKE",48
15,"CUSK",54
16,"POLLOCK",58
17,"TOMCOD_ATLANTIC_",24
19,"OFF-SHORE_HAKE",59
23,"REDFISH_UNSEPARATED",58
25,"TILE_FISH",58
30,"HALIBUT_ATLANTIC_",68
31,"TURBOT_GREENLAND_HALIBUT",60
32,"WHITE_MARLIN",45
40,"AMERICAN_PLAICE",29
41,"WITCH_FLOUNDER",46
42,"YELLOWTAIL_FLOUNDER",33
43,"WINTER_FLOUNDER",50
44,"GULF_STREAM_FLOUNDER",28
49,"Flounders_NS",48
50,"STRIPED_ATLANTIC_WOLFFISH",78
51,"SPOTTED_WOLFFISH",78
60,"HERRING_ATLANTIC_",53
61,"SHAD_AMERICAN",49
62,"ALEWIFE",43
64,"CAPELIN",49
70,"MACKEREL_ATLANTIC_",51
71,"BLUEFIN_TUNA",60
72,"SWORDFISH",64
102,"SCUP",45
112,"LONGFIN_HAKE",41
114,"FOURBEARD_ROCKLING",45
119,"ROCKLING_UNIDENTIFIED",45
122,"CUNNER",48
123,"ROSEFISH_BLACK_BELLY_",59
141,"SUMMER_FLOUNDER",47
142,"FOURSPOT_FLOUNDER",47
143,"BRILL/WINDOWPANE",42
149,"LONGNOSE_GREENEYE",42
150,"LANTERNFISH__NS_",31
156,"SHORT-NOSE_GREENEYE",42
159,"BOA_DRAGONFISH",45
160,"ARGENTINE_ATLANTIC_",37
164,"MENHADEN_ATLANTIC_",47
165,"BLUEBACK_HERRING",49
190,"ALBACORE_TUNA",62
191,"YELLOWFIN_TUNA",60
200,"BARNDOOR_SKATE",87
201,"THORNY_SKATE",57
202,"SMOOTH_SKATE",57
203,"LITTLE_SKATE",17
204,"WINTER_SKATE",17
211,"SKATES__NS_",45
212,"SKATES__NS_",45
219,"SKATES_AND_RAYS__NS_",45
220,"SPINY_DOGFISH",62
221,"BLACK_DOGFISH",77
230,"PORBEAGLE_MACKEREL_SHARK",60
231,"BLUE_SHARK",60
234,"THRESHER_SHARK",60
246,"DUSKY_SHARK",83
256,"PELAGIC_FISH__NS_",45
290,"HERRING/CAPELIN_LIKE",45
300,"LONGHORN_SCULPIN",46
301,"SHORTHORN_SCULPIN",46
304,"MAILED_SCULPIN",46
306,"ARCTIC_HOOKEAR_SCULPIN",46
311,"SCULPIN_UNIDENTIFIED",46
312,"SCULPINS",46
314,"SPATULATE_SCULPIN",46
316,"ARCTIC_SCULPIN",46
320,"SEA_RAVEN",46
323,"HOOKEAR_SCULPIN__NS_",46
340,"ALLIGATORFISH",46
350,"ATLANTIC_SEA_POACHER",46
351,"ALLIGATOR_FISH__NS_",46
400,"MONKFISH_GOOSEFISH_ANGLER",72
410,"MARLIN-SPIKE_GRENADIER",75
411,"ROUGHHEAD_GRENADIER",75
412,"ROUGHNOSE_GRENADIER",75
414,"ROCK_GRENADIER_ROUNDNOSE_",75
416,"GRENADIERS__NS_",75
500,"SEASNAIL_UNIDENTIFIED",43
501,"LUMPFISH",43
502,"ATLANTIC_SPINY_LUMPSUCKER",43
504,"STRIPED_SEASNAIL",43
505,"SEASNAIL_GELATINOUS",43
508,"INQUILINE_SEASNAIL",43
512,"SEASNAIL_DUSKY",43
598,"EELPOUTS__NS_",31
601,"SNUBNOSE_EEL__SLIME_EEL",31
603,"WOLF_EELPOUT",31
604,"SNIPE_EEL",31
609,"SNAKE_EEL",31
610,"NORTHERN_SAND_LANCE",45
613,"STOUT_SAWPALATE",40
619,"EELPOUT_NEWFOUNDLAND",31
621,"ROCK_GUNNEL_EEL_",31
622,"SNAKE_BLENNY",31
623,"DAUBED_SHANNY",31
625,"RADIATED_SHANNY",31
630,"WRYMOUTH",40
635,"DRAGONETS",45
640,"OCEAN_POUT_COMMON_",31
641,"ARCTIC_EELPOUT",31
642,"EELPOUTS_NS_",31
646,"ATLANTIC_SOFT_POUT",31
647,"SHORTTAILED_EELPOUT_VAHL_",31
648,"EEL-UNIDENTIFIED",31
700,"ATLANTIC_SILVER_HATCHFISH",45
701,"BUTTERFISH",50
702,"NORTHERN_PIPEFISH",35
704,"AMERICAN_JOHN_DORY",50
712,"WHITE_BARRACUDINA",60
720,"ATLANTIC_SAURY_NEEDLEFISH",67
742,"ATLANTIC_BATFISH",47
747,"DOLPHIN_COMMON_",50
771,"BEARDFISH",42
811,"MYCTOPHIFORMES",31
880,"HOOKEAR_SCULPIN_ATL_",46
1004,"TIGER_SHARK",60
