NAFOSUB,NAFOSUBID,NAFOID,NAFO,ESSWSSID,ESSWSS,SHELFID,SHELF,INDISEAS
4X,NA,NA,4X,NA,WSS,NA,SHELF,WSS
4W,NA,NA,4W,NA,ESS,NA,SHELF,ESS
4VS,NA,NA,4VS,NA,ESS,NA,SHELF,ESS
4VSB,1.1,1.1,4VS,1.1,ESS,1.1,SHELF,ESS
4VSU,2.1,1.1,4VS,1.1,ESS,1.1,SHELF,ESS
4XM,3.1,2.1,4X,2.1,WSS,1.1,SHELF,ESS
4WE,4.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4WU,5.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4WF,6.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4XO,7.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4WG,8.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4VNU,9.1,4.1,4VN,1.1,ESS,1.1,SHELF,NA
4WM,10.1,3.1,4W,1.1,ESS,NA,NA,ESS
4XQ,11.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4XR,12.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4XP,13.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4XN,14.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4WH,15.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4WJ,16.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4WK,17.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4XU,18.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4WL,19.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4WD,20.1,3.1,4W,1.1,ESS,1.1,SHELF,ESS
4XS,21.1,2.1,4X,2.1,WSS,1.1,SHELF,WSS
4VSC,22.1,1.1,4VS,1.1,ESS,1.1,SHELF,ESS
4XL,23.1,2.1,4X,2.1,WSS,NA,NA,WSS
4VSW,NA,NA,NA,1.1,ESS,1.1,SHELF,ESS
4VSE,25.1,1.1,4VS,1.1,ESS,NA,NA,ESS
4VSV,26.1,1.1,4VS,1.1,ESS,NA,NA,ESS
4XX,27.1,2.1,4X,2.1,WSS,NA,NA,WSS
4WW,28.1,3.1,4W,1.1,ESS,NA,NA,ESS
4VN,29.1,4.1,4VN,1.1,ESS,1.1,SHELF,NA
