species,fungroup,q,lencorr
10,cod,0,1
11,haddock,0,1
12,dg,0,1
13,dg,0,1
14,dg,0,1
15,dg,0,1
16,dg,0,1
17,dg,0,1
19,pg,0,1
23,dg,0,1.25
30,ff,0,1
31,ff,0,1
40,ff,0,1
41,ff,0,1
42,ff,0,1
43,ff,0,1
44,ff,0,1
50,dg,0,1.25
51,dg,0,1.25
60,NA,0.025,1
61,NA,0.025,1
62,NA,0.025,1
64,NA,0.025,1
70,NA,0.025,1
111,dg,0,1
112,dg,0,1
114,dg,0,1
119,dg,0,1
122,dg,0,1
123,dg,0,1.25
142,ff,0,1
143,ff,0,1
149,dg,0,1
150,pg,0,1
156,dg,0,1
160,NA,0.025,1
200,NA,0.1,1
201,ff,0,1.25
202,ff,0,1.25
203,ff,0,1.25
204,ff,0,1.25
220,dg,0,1
221,dg,0,1
241,NA,0.025,1
300,dg,0,1.25
301,dg,0,1.25
303,dg,0,1.25
304,dg,0,1.25
306,dg,0,1.25
307,dg,0,1.25
320,dg,0,1.25
340,NA,0.05,1
350,NA,0.05,1
400,dg,0,1.25
410,dg,0,1
411,dg,0,1
412,dg,0,1
414,dg,0,1
500,NA,0.05,1
501,pg,0,1
502,pg,0,1
503,NA,0.05,1
604,dg,0,1
610,NA,0.0153,1
619,dg,0,1
620,dg,0,1
621,dg,0,1
622,dg,0,1
623,dg,0,1
625,dg,0,1
626,dg,0,1
630,dg,0,1
640,dg,0,1
641,dg,0,1
642,dg,0,1
646,NA,0.05,1
647,dg,0,1
700,NA,0.025,1
712,NA,0.025,1
720,NA,0.025,1
741,dg,0,1
880,dg,0,1.25
4511,NA,1,1
49,ff,0,1
141,ff,0,1
59,dg,0,1
701,NULL,0.025,1
52,dg,0,1
