Abundance,resourcePotentialALLABUNDANCE
BInvertebrateToDemersal,biomassRatioInv2DemALLBIOMASS
Biomass,resourcePotentialALLBIOMASS
BiomassClupeids,resourcePotentialCLUPEIDSBIOMASS
BiomassPelagic,resourcePotentialPELAGICBIOMASS
BiomassFinfish,resourcePotentialFINFISHBIOMASS
BiomassFlatfish,resourcePotentialFLATFISHBIOMASS
BiomassForage,resourcePotentialFORAGEBIOMASS
BiomassGadoids,resourcePotentialGADOIDSBIOMASS
BiomassGroundfish,resourcePotentialGROUNDFISHBIOMASS
BiomassInvertebrates,resourcePotentialINVERTEBRATESBIOMASS
BiomassSkates,resourcePotentialSKATESBIOMASS
BiomassTL2,biomassPerTLALLBIOMASS.2
BiomassTL3,biomassPerTLALLBIOMASS.3
BiomassTL4,biomassPerTLALLBIOMASS.4
BPelagicToDemersal,biomassRatioPel2DemALLBIOMASS
BTGLargeBenthivore,resourcePotentialLBENTHIVOREBIOMASS
BTGMediumBenthivore,resourcePotentialMBENTHIVOREBIOMASS
BTGPiscivore,resourcePotentialPISCIVOREBIOMASS
BTGPlanktivore,resourcePotentialPLANKTIVOREBIOMASS
BTGZoopiscivore,resourcePotentialZOOPISCIVOREBIOMASS
CCLargeBenthivore,communityFultonKLBENTHIVOREABUNDANCE
CCMediumBenthivore,communityFultonKMBENTHIVOREABUNDANCE
CCPiscivore,communityFultonKPISCIVOREABUNDANCE
CCPlanktivore,communityFultonKPLANKTIVOREABUNDANCE
CCZoopiscivore,communityFultonKZOOPISCIVOREABUNDANCE
CommunityCondition,communityFultonKFINFISHABUNDANCE
DiversityTargetSpp.L,LandingsDiversityALLABUNDANCE
FishinginBalance.L,FishingInBalanceALLABUNDANCE
FishingPressure.L,FishingPressureALLBIOMASS
FPClupeids.L,FishingPressureCLUPEIDSBIOMASS
FPFinfish.L,FishingPressureFINFISHBIOMASS
FPFlatfish.L,FishingPressureFLATFISHBIOMASS
FPForageFish.L,FishingPressureFORAGEBIOMASS
FPGadoids.L,FishingPressureGADOIDSBIOMASS
FPGroundfish.L,FishingPressureGROUNDFISHBIOMASS
FPInvertebrates.L,FishingPressureINVERTEBRATESBIOMASS
FPSkates.L,FishingPressureSKATESBIOMASS
HillN1Diversity,hillN1ALLABUNDANCE
HillN2Dominance,hillN2ALLABUNDANCE
Intrinsicvulnerabilityindex.L,IVILandingsALLABUNDANCE
InverseCVBiomass,invCVBiomassALLBIOMASS
InverseFishingPressure.L,InverseFishingPressureALLBIOMASS
InverseFPClupeids.L,InverseFishingPressureCLUPEIDSBIOMASS
InverseFPFinfish.L,InverseFishingPressureFINFISHBIOMASS
InverseFPFlatfish.L,InverseFishingPressureFLATFISHBIOMASS
InverseFPForageFish.L,InverseFishingPressureFORAGEBIOMASS
InverseFPGadoids.L,InverseFishingPressureGADOIDSBIOMASS
InverseFPGroundfish.L,InverseFishingPressureGROUNDFISHBIOMASS
InverseFPInvertebrates.L,InverseFishingPressureINVERTEBRATESBIOMASS
InverseFPSkates.L,InverseFishingPressureSKATESBIOMASS
KemptonQ,kemptonQALLABUNDANCE
Landings.L,LandByGroupALLBIOMASS
LargeFishIndicator,largeFishIndicatorALLBIOMASS
LargeSpeciesIndicator,largeSpeciesIndicatorALLBIOMASS
LClupeids.L,LandByGroupCLUPEIDSBIOMASS
LFinfish.L,LandByGroupFINFISHBIOMASS
LFlatfish.L,LandByGroupFLATFISHBIOMASS
LForageFish.L,LandByGroupFORAGEBIOMASS
LGadoids.L,LandByGroupGADOIDSBIOMASS
LGroundfish.L,LandByGroupGROUNDFISHBIOMASS
LInvertebrates.L,LandByGroupINVERTEBRATESBIOMASS
LLargePelagic.L,LandByGroupLARGE_PELAGICBIOMASS
LSkates.L,LandByGroupSKATESBIOMASS
MargalefGroundfish,margalefSpeciesRichnessGROUNDFISHABUNDANCE
MargalefRichness,margalefSpeciesRichnessALLABUNDANCE
MarineTrophicIndex.L,MarineTrophicIndexALLABUNDANCE
MeanLengthAbundance,meanLengthCommunityALLABUNDANCE
MeanLengthBiomass,meanLengthCommunityALLBIOMASS
MeanLifespan,meanMaxAgeALLBIOMASS
MeanTrophicLevel,meanTrophicLevelCommunityALLBIOMASS
MeanTrophicLevelStanza,meanTrophicLevelCommunityLengthALLBIOMASS
MeanTrophicLevel.L,MeanTLLandingsALLABUNDANCE
MMLengthAbundance,meanMaxLALLABUNDANCE
MMLengthBiomass,meanMaxLALLBIOMASS
PielouEvenness,pielouSpeciesEvennessALLABUNDANCE
PropPredatoryFish,predatoryFishALLBIOMASS
ShannonDiversity,shannonALLABUNDANCE
SpeciesRichness,speciesRichnessALLABUNDANCE
Heips,heipsALLABUNDANCE
