lookupVariable,lookupValue_na,lookupValue,newVariable,newValue
Species,resourcePotentialesswss1BIOMASS,resourcePotentialesswss1BIOMASS.csv,Spp,Orange Filefish
Species,resourcePotentialesswss2BIOMASS,resourcePotentialesswss2BIOMASS.csv,Spp,"Filefish,Scrawled"
Species,resourcePotentialesswss3BIOMASS,resourcePotentialesswss3BIOMASS.csv,Spp,Gray Triggerfish
Species,resourcePotentialesswss4BIOMASS,resourcePotentialesswss4BIOMASS.csv,Spp,Queen Triggerfish
Species,resourcePotentialesswss5BIOMASS,resourcePotentialesswss5BIOMASS.csv,Spp,Fringed Filefish
Species,resourcePotentialesswss6BIOMASS,resourcePotentialesswss6BIOMASS.csv,Spp,Planehead Filefish
Species,resourcePotentialesswss7BIOMASS,resourcePotentialesswss7BIOMASS.csv,Spp,Northern Kingfish
Species,resourcePotentialesswss8BIOMASS,resourcePotentialesswss8BIOMASS.csv,Spp,Bothus Sp.
Species,resourcePotentialesswss9BIOMASS,resourcePotentialesswss9BIOMASS.csv,Spp,Silver Anchovy
Species,resourcePotentialesswss10BIOMASS,resourcePotentialesswss10BIOMASS.csv,Spp,Cod(Atlantic)
Species,resourcePotentialesswss11BIOMASS,resourcePotentialesswss11BIOMASS.csv,Spp,Haddock
Species,resourcePotentialesswss12BIOMASS,resourcePotentialesswss12BIOMASS.csv,Spp,White Hake
Species,resourcePotentialesswss13BIOMASS,resourcePotentialesswss13BIOMASS.csv,Spp,Squirrel Or Red Hake
Species,resourcePotentialesswss14BIOMASS,resourcePotentialesswss14BIOMASS.csv,Spp,Silver Hake
Species,resourcePotentialesswss15BIOMASS,resourcePotentialesswss15BIOMASS.csv,Spp,Cusk
Species,resourcePotentialesswss16BIOMASS,resourcePotentialesswss16BIOMASS.csv,Spp,Pollock
Species,resourcePotentialesswss17BIOMASS,resourcePotentialesswss17BIOMASS.csv,Spp,Tomcod(Atlantic)
Species,resourcePotentialesswss18BIOMASS,resourcePotentialesswss18BIOMASS.csv,Spp,Hake (Ns)
Species,resourcePotentialesswss19BIOMASS,resourcePotentialesswss19BIOMASS.csv,Spp,Off-Shore Hake
Species,resourcePotentialesswss20BIOMASS,resourcePotentialesswss20BIOMASS.csv,Spp,"Redfish, Acadian"
Species,resourcePotentialesswss21BIOMASS,resourcePotentialesswss21BIOMASS.csv,Spp,"Redfish, Deep Water"
Species,resourcePotentialesswss22BIOMASS,resourcePotentialesswss22BIOMASS.csv,Spp,B. Pediolota
Species,resourcePotentialesswss23BIOMASS,resourcePotentialesswss23BIOMASS.csv,Spp,Redfish Unseparated
Species,resourcePotentialesswss24BIOMASS,resourcePotentialesswss24BIOMASS.csv,Spp,Striped Bass
Species,resourcePotentialesswss25BIOMASS,resourcePotentialesswss25BIOMASS.csv,Spp,Tile Fish
Species,resourcePotentialesswss26BIOMASS,resourcePotentialesswss26BIOMASS.csv,Spp,Smoothhead Scorpionfish
Species,resourcePotentialesswss27BIOMASS,resourcePotentialesswss27BIOMASS.csv,Spp,Escolar
Species,resourcePotentialesswss28BIOMASS,resourcePotentialesswss28BIOMASS.csv,Spp,Nealotus Tripes
Species,resourcePotentialesswss29BIOMASS,resourcePotentialesswss29BIOMASS.csv,Spp,Oilfish
Species,resourcePotentialesswss30BIOMASS,resourcePotentialesswss30BIOMASS.csv,Spp,Halibut(Atlantic)
Species,resourcePotentialesswss31BIOMASS,resourcePotentialesswss31BIOMASS.csv,Spp,"Turbot,Greenland Halibut"
Species,resourcePotentialesswss32BIOMASS,resourcePotentialesswss32BIOMASS.csv,Spp,White Marlin
Species,resourcePotentialesswss33BIOMASS,resourcePotentialesswss33BIOMASS.csv,Spp,Blue Marlin
Species,resourcePotentialesswss34BIOMASS,resourcePotentialesswss34BIOMASS.csv,Spp,Anchovies
Species,resourcePotentialesswss35BIOMASS,resourcePotentialesswss35BIOMASS.csv,Spp,Hake
Species,resourcePotentialesswss36BIOMASS,resourcePotentialesswss36BIOMASS.csv,Spp,Wrasses
Species,resourcePotentialesswss37BIOMASS,resourcePotentialesswss37BIOMASS.csv,Spp,"Pearlfish,Chain"
Species,resourcePotentialesswss38BIOMASS,resourcePotentialesswss38BIOMASS.csv,Spp,Swallowers
Species,resourcePotentialesswss39BIOMASS,resourcePotentialesswss39BIOMASS.csv,Spp,Black Swallower
Species,resourcePotentialesswss40BIOMASS,resourcePotentialesswss40BIOMASS.csv,Spp,American Plaice
Species,resourcePotentialesswss41BIOMASS,resourcePotentialesswss41BIOMASS.csv,Spp,Witch Flounder
Species,resourcePotentialesswss42BIOMASS,resourcePotentialesswss42BIOMASS.csv,Spp,Yellowtail Flounder
Species,resourcePotentialesswss43BIOMASS,resourcePotentialesswss43BIOMASS.csv,Spp,Winter Flounder
Species,resourcePotentialesswss44BIOMASS,resourcePotentialesswss44BIOMASS.csv,Spp,Gulf Stream Flounder
Species,resourcePotentialesswss45BIOMASS,resourcePotentialesswss45BIOMASS.csv,Spp,Eyed Flounder
Species,resourcePotentialesswss46BIOMASS,resourcePotentialesswss46BIOMASS.csv,Spp,Northern Sennet
Species,resourcePotentialesswss47BIOMASS,resourcePotentialesswss47BIOMASS.csv,Spp,White Mullet
Species,resourcePotentialesswss48BIOMASS,resourcePotentialesswss48BIOMASS.csv,Spp,Striped Mullet
Species,resourcePotentialesswss49BIOMASS,resourcePotentialesswss49BIOMASS.csv,Spp,Flounder Unid
Species,resourcePotentialesswss50BIOMASS,resourcePotentialesswss50BIOMASS.csv,Spp,Striped Atl Wolffish
Species,resourcePotentialesswss51BIOMASS,resourcePotentialesswss51BIOMASS.csv,Spp,Spotted Wolffish
Species,resourcePotentialesswss52BIOMASS,resourcePotentialesswss52BIOMASS.csv,Spp,Northern Wolffish
Species,resourcePotentialesswss53BIOMASS,resourcePotentialesswss53BIOMASS.csv,Spp,Tautog
Species,resourcePotentialesswss54BIOMASS,resourcePotentialesswss54BIOMASS.csv,Spp,Sergeant Major
Species,resourcePotentialesswss55BIOMASS,resourcePotentialesswss55BIOMASS.csv,Spp,European Ling
Species,resourcePotentialesswss56BIOMASS,resourcePotentialesswss56BIOMASS.csv,Spp,Blue Ling
Species,resourcePotentialesswss57BIOMASS,resourcePotentialesswss57BIOMASS.csv,Spp,Phycinae S.F.
Species,resourcePotentialesswss58BIOMASS,resourcePotentialesswss58BIOMASS.csv,Spp,Striped Anchovy
Species,resourcePotentialesswss59BIOMASS,resourcePotentialesswss59BIOMASS.csv,Spp,"Wolffish,Unident."
Species,resourcePotentialesswss60BIOMASS,resourcePotentialesswss60BIOMASS.csv,Spp,Herring(Atlantic)
Species,resourcePotentialesswss61BIOMASS,resourcePotentialesswss61BIOMASS.csv,Spp,Shad American
Species,resourcePotentialesswss62BIOMASS,resourcePotentialesswss62BIOMASS.csv,Spp,Alewife
Species,resourcePotentialesswss63BIOMASS,resourcePotentialesswss63BIOMASS.csv,Spp,Rainbow Smelt
Species,resourcePotentialesswss64BIOMASS,resourcePotentialesswss64BIOMASS.csv,Spp,Capelin
Species,resourcePotentialesswss65BIOMASS,resourcePotentialesswss65BIOMASS.csv,Spp,Salmon(Atlantic)
Species,resourcePotentialesswss66BIOMASS,resourcePotentialesswss66BIOMASS.csv,Spp,Lake Whitefish
Species,resourcePotentialesswss67BIOMASS,resourcePotentialesswss67BIOMASS.csv,Spp,Atl Whitefish
Species,resourcePotentialesswss68BIOMASS,resourcePotentialesswss68BIOMASS.csv,Spp,Pink Salmon
Species,resourcePotentialesswss69BIOMASS,resourcePotentialesswss69BIOMASS.csv,Spp,Rainbow Trout
Species,resourcePotentialesswss70BIOMASS,resourcePotentialesswss70BIOMASS.csv,Spp,Mackerel(Atlantic)
Species,resourcePotentialesswss71BIOMASS,resourcePotentialesswss71BIOMASS.csv,Spp,Bluefin Tuna
Species,resourcePotentialesswss72BIOMASS,resourcePotentialesswss72BIOMASS.csv,Spp,Swordfish
Species,resourcePotentialesswss73BIOMASS,resourcePotentialesswss73BIOMASS.csv,Spp,"Tunas, Swordfishes,Etc."
Species,resourcePotentialesswss74BIOMASS,resourcePotentialesswss74BIOMASS.csv,Spp,Banded Rudderfish
Species,resourcePotentialesswss75BIOMASS,resourcePotentialesswss75BIOMASS.csv,Spp,Brown Trout
Species,resourcePotentialesswss76BIOMASS,resourcePotentialesswss76BIOMASS.csv,Spp,Arctic Char
Species,resourcePotentialesswss77BIOMASS,resourcePotentialesswss77BIOMASS.csv,Spp,Brook Trout
Species,resourcePotentialesswss78BIOMASS,resourcePotentialesswss78BIOMASS.csv,Spp,Bulleye
