"RESEARCH","GROUP_NAME","MINL","MAXL","COMMON","TL","LANDED","PB"
621,"SmMedBenthivores",0,1000,"ROCK_GUNNEL_EEL_",3.58,0,1.41
622,"SmMedBenthivores",0,1000,"SNAKE_BLENNY",3.58,0,1.41
623,"SmMedBenthivores",0,1000,"DAUBED_SHANNY",3.58,0,1.41
625,"SmMedBenthivores",0,1000,"RADIATED_SHANNY",3.58,0,1.41
630,"Lbentivores41+",41,1000,"WRYMOUTH",3.55,1,0.64
630,"Lbenthivores<41",0,40,"WRYMOUTH",3.78,0,0.62
635,"SmMedBenthivores",0,1000,"DRAGONETS",3.58,0,1.41
640,"Lbenthivores<41",0,40,"OCEAN_POUT_COMMON_",3.78,0,0.62
640,"Lbentivores41+",41,1000,"OCEAN_POUT_COMMON_",3.55,1,0.64
641,"Lbentivores41+",41,1000,"ARCTIC_EELPOUT",3.55,0,0.64
641,"Lbenthivores<41",0,40,"ARCTIC_EELPOUT",3.78,0,0.62
642,"Lbentivores41+",41,1000,"EELPOUTS_NS_",3.55,0,0.64
642,"Lbenthivores<41",0,40,"EELPOUTS_NS_",3.78,0,0.62
646,"SmMedBenthivores",0,1000,"ATLANTIC_SOFT_POUT",3.58,0,1.41
647,"Lbentivores41+",41,1000,"SHORTTAILED_EELPOUT_VAHL_",3.55,0,0.64
647,"Lbenthivores<41",0,40,"SHORTTAILED_EELPOUT_VAHL_",3.78,0,0.62
648,"Lbentivores41+",41,1000,"EEL-UNIDENTIFIED",3.55,0,0.64
648,"Lbenthivores<41",0,40,"EEL-UNIDENTIFIED",3.78,0,0.62
700,"Otherpelagic",0,1000,"ATLANTIC_SILVER_HATCHFISH",3.59,0,0.74
701,"Otherpelagic",0,1000,"BUTTERFISH",3.59,1,0.74
702,"SmMedBenthivores",0,1000,"NORTHERN_PIPEFISH",3.58,0,1.41
704,"Dpiscvores<40",0,39,"AMERICAN_JOHN_DORY",4.33,0,0.44
704,"Dpiscvores40+",40,1000,"AMERICAN_JOHN_DORY",4.6,0,0.62
712,"Mesopelagics",0,1000,"WHITE_BARRACUDINA",3.37,0,0.97
720,"Otherpelagic",0,1000,"ATLANTIC_SAURY_NEEDLEFISH",3.59,0,0.74
742,"SmMedBenthivores",0,1000,"ATLANTIC_BATFISH",3.58,0,1.41
747,"Largepelagics",0,1000,"DOLPHIN_COMMON_",4.82,1,0.4
771,"SmMedBenthivores",0,1000,"BEARDFISH",3.58,0,1.41
811,"Mesopelagics",0,1000,"MYCTOPHIFORMES",3.37,0,0.97
880,"SmMedBenthivores",0,1000,"HOOKEAR_SCULPIN_ATL_",3.58,0,1.41
901,"Mesopelagics",0,1000,"ECTREPOSEBASTES_IMUS",3.37,0,0.97
1004,"Sharks",0,1000,"TIGER_SHARK",4.81,0,0.18
1810,"SessBen",0,1000,"TUNICATA_S_P_",2.23,0,0.32
1823,"SessBen",0,1000,"SEA_POTATO",2.23,0,0.32
1827,"SessBen",0,1000,"SEA_PEACH",2.23,0,0.32
1900,"SessBen",0,1000,"BRYOZOANS_P_",2.23,0,0.32
2000,"UnidCrust",0,1000,"CRUSTACEA_C_",2.81,0,0.75
2005,"UnidCrust",0,1000,"CRUSTACEAN_REMAINS",2.81,0,0.75
2100,"Shrimps",0,1000,"SHRIMPS",2.61,0,3
2200,"Shrimps",0,1000,"PANDALIDAE_F_",2.61,0,3
2210,"Shrimps",0,1000,"PANDALUS_SP_",2.61,1,3
2211,"Shrimps",0,1000,"PANDALUS_BOREALIS",2.61,1,3
2212,"Shrimps",0,1000,"PANDALUS_MONTAGUI",2.61,1,3
2215,"Shrimps",0,1000,"DICHELOPANDALUS_SP_",2.61,0,3
2221,"Shrimps",0,1000,"PASIPHAEA_MULTIDENTATA",2.61,1,3
2300,"Shrimps",0,1000,"HIPPOLYTIDAE_F_",2.61,0,3
2310,"Shrimps",0,1000,"SPIRONTOCARIS",2.61,0,3
2312,"Shrimps",0,1000,"LEBBEUS_POLARIS",2.61,0,3
2313,"Shrimps",0,1000,"SPIRONTOCARIS_LILJEBORGII",2.61,0,3
2316,"Shrimps",0,1000,"SPIRONTOCARIS_SPINUS",2.61,0,3
2319,"Shrimps",0,1000,"LEBBEUS_GROENLANDICUS",2.61,0,3
2320,"Shrimps",0,1000,"LEBBEUS_SP_",2.61,0,3
2330,"Shrimps",0,1000,"EUALUS_SP_",2.61,0,3
2400,"Shrimps",0,1000,"CRANGONIDAE___F_",2.61,0,3
2411,"Shrimps",0,1000,"ARGIS_DENTATA",2.61,0,3
2416,"Shrimps",0,1000,"CRANGON_SP_",2.61,0,3
2417,"Shrimps",0,1000,"CRANGON_SEPTEMSPINOSA",2.61,0,3
2499,"UnidCrust",0,1000,"SHRIMP-LIKE",2.81,0,0.75
2500,"SMedCrabs",0,1000,"CRAB",2.64,0,1.31
2507,"SMedCrabs",0,1000,"CRAB",2.64,0,1.31
2509,"SMedCrabs",0,1000,"CANCER_CRAB__NS_",2.64,1,1.31
2511,"SMedCrabs",0,1000,"JONAH_CRAB",2.64,1,1.31
2513,"LCommCrab",0,1000,"ATLANTIC_ROCK_CRAB",3.18,1,0.654
2516,"SMedCrabs",0,1000,"CRAB_ANOMURA_",2.64,0,1.31
2519,"SMedCrabs",0,1000,"SPIDER_CRAB__NS_",2.64,1,1.31
2520,"SMedCrabs",0,1000,"TOAD_CRAB_UNIDENT_",2.64,1,1.31
2521,"SMedCrabs",0,1000,"HYAS_COARCTATUS",2.64,1,1.31
2523,"SMedCrabs",0,1000,"NORTHERN_STONE_CRAB",2.64,1,1.31
2524,"SMedCrabs",0,1000,"CANCER_SP_",2.64,1,1.31
2526,"LCommCrab",0,1000,"SNOW_CRAB__QUEEN_",3.18,1,0.654
2527,"LCommCrab",0,1000,"TOAD_CRAB",3.18,1,0.654
2531,"SMedCrabs",0,1000,"green_crab",2.64,0,1.31
2541,"SMedCrabs",0,1000,"AXIUS_SERRATUS",2.64,0,1.31
2550,"Lobster",0,1000,"AMERICAN_LOBSTER",3.1,1,0.91
2555,"SMedCrabs",0,1000,"MUNIDA_IRIS",2.64,0,1.31
2556,"SMedCrabs",0,1000,"MUNIDA_VALIDA",2.64,0,1.31
2559,"SMedCrabs",0,1000,"HERMIT_CRABS",2.64,0,1.31
2560,"SMedCrabs",0,1000,"PAGUROIDEA_S_F_",2.64,0,1.31
2562,"SMedCrabs",0,1000,"PAGURUS_ACADIANUS",2.64,0,1.31
2565,"SMedCrabs",0,1000,"MUD_SHRIMP",2.64,0,1.31
2600,"Micronek",0,1000,"KRILL_SHRIMP",2.93,0,NA
2611,"Micronek",0,1000,"M_NORVEGICA",2.93,0,NA
2700,"Micronek",0,1000,"MYSID_SHRIMP",2.93,0,NA
2800,"Mesozoop",0,1000,"AMPHIPODA_O_",2.37,0,NA
2811,"Mesozoop",0,1000,"GAMMARIDAE_F_",2.37,0,NA
2820,"Mesozoop",0,1000,"GAMMARUS_SP_",2.37,0,NA
2870,"Macrozoop",0,1000,"CAPRELLIDAE_F_",2.93,0,3.04
2873,"Macrozoop",0,1000,"AEGININA__LONGICORNIS",2.93,0,3.04
2874,"Macrozoop",0,1000,"CAPRELLA_SP_",2.93,0,3.04
2900,"Mesozoop",0,1000,"COPEPODA_S_C_",2.37,0,NA
2906,"Mesozoop",0,1000,"HYPERIIDAE_F_",2.37,0,NA
2941,"Mesozoop",0,1000,"P_GAUDICHAUDI",2.37,0,NA
2967,"Mesozoop",0,1000,"SEA_PILL_BUG",2.37,0,NA
2970,"Macrozoop",0,1000,"CUMACEA_O_",2.93,0,3.04
2980,"Macrozoop",0,1000,"ISOPODA_O_",2.93,0,3.04
2990,"Macrozoop",0,1000,"BARNACLES",2.93,0,3.04
3000,"Worms",0,1000,"SEGMENTED_WORMS",2.18,0,1.25
3100,"Worms",0,1000,"BRISTLE_WORMS",2.18,0,1.25
3112,"Worms",0,1000,"PADDLE_WORMS",2.18,0,1.25
3130,"Worms",0,1000,"NEREIS_SP_",2.18,0,1.25
3131,"Worms",0,1000,"NEREIS_PELAGICA",2.18,0,1.25
3142,"Worms",0,1000,"TRUMPET_WORM",2.18,0,1.25
3143,"Worms",0,1000,"FILAMENT_TUBE_WORM",2.18,0,1.25
3144,"Worms",0,1000,"PECTINARIA_SP_",2.18,0,1.25
3199,"Worms",0,1000,"WORM_CAST",2.18,0,1.25
3200,"Worms",0,1000,"SEA_MOUSE",2.18,0,1.25
3212,"Worms",0,1000,"APHRODITA_SP_",2.18,0,1.25
3221,"Worms",0,1000,"CHONE_SP_",2.18,0,1.25
3451,"Worms",0,1000,"PRIAPULUS",2.18,0,1.25
3501,"Worms",0,1000,"LEPIDONOTUS_SQUAMATUS",2.18,0,1.25
3550,"Worms",0,1000,"BLOOD_WORMS",2.18,0,1.25
3600,"Gelat",0,1000,"PTEROPODA",3.4,0,15.51
3601,"Gelat",0,1000,"PELAGIC_SEA_SNAIL",3.4,0,15.51
3999,"Othermolluscs",0,1000,"SAND_TUBE",2.81,0,0.75
4000,"Othermolluscs",0,1000,"MOLLUSCA_P_",2.81,0,0.75
4110,"Othermolluscs",0,1000,"TUSK_OR_TOOTHSHELLS",2.81,0,0.75
4200,"Othermolluscs",0,1000,"SNAILS_AND_SLUGS",2.81,0,0.75
4210,"Othermolluscs",0,1000,"WHELKS",2.81,1,0.75
4211,"Othermolluscs",0,1000,"WAVE_WHELK",2.81,0,0.75
